Country,Latitude,Longitude,Economic_status,Waste_generation_rate_kg/person/day,,%_Plastic_in_waste_stream,%_littered_waste,Waste_generation_kg_day,Plastic_waste_generation_kg_day,Inadequately_managed_plastic_waste_kg_day,Plastic_waste_littered_kg_day,Mismanaged_plastic_waste_kg_person_day,Mismanaged_plastic_waste_2010_tonnes
Nicaragua,13,-85,LMI,1,13,45,2,3830918,496104,221353,9922,0,84415
Nigeria,9,9,LMI,1,13,81,2,21706918,2811046,2276636,56221,0,851493
Niue,-19,-170,HIC,2,12,0,2,3778,451,1,9,0,4
Norfolk Island,-29,168,LMI,1,13,82,2,1703,221,182,4,0,68
Northern Mariana Islands,15,146,HIC,2,12,0,2,223138,26665,66,533,0,219
Norway,60,8,HIC,3,10,0,2,11568701,1151086,0,23022,0,8403
Oman,21,56,HIC,1,12,4,2,1818289,217286,8416,4346,0,4658
Pakistan,30,69,LMI,1,13,86,2,11519742,1491807,1286583,29836,0,480493
Palau,8,135,UMI,1,12,56,2,28135,3362,1895,67,0,716
Palestine (Gaza Strip is only part on the coast),31,34,LMI,1,8,6,2,2405754,191257,11515,3825,0,5599
Panama,9,-81,UMI,1,12,18,2,3931933,469866,84815,9397,0,34388
Papua New Guinea,-6,144,LMI,1,13,86,2,2170536,281084,240502,5622,0,89835
Peru,-12,-77,UMI,1,12,25,2,16518730,1973988,493267,39480,0,194453
Philippines,13,122,LMI,1,15,81,2,41723431,6237653,5035956,124753,0,1883659
Poland,52,19,UMI,1,11,12,2,2880181,315380,36715,6308,0,15703
Portugal,39,-8,HIC,2,12,0,2,18802572,2246907,0,44938,0,16402
Puerto Rico,18,-67,HIC,2,12,2,2,8924681,1066499,23923,21330,0,16517
Qatar,25,51,HIC,1,12,0,2,868499,103786,0,2076,0,758
Reunion,-21,56,UMI,1,12,0,2,971311,116072,0,2321,0,847
Romania,46,25,UMI,1,4,26,2,910177,35952,9172,719,0,3610
