Year,Trade Flow,Reporter,exportLat,exportLong,Partner,importLat,importLong,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2016,Import,USA,37.09024,-95.712891,Sweden,60.128161,18.643501,"Waste, parings and scrap, of plastics",Weight in kilograms,1327301,1327301,509082
2016,Import,USA,37.09024,-95.712891,Indonesia,-0.789275,113.921327,"Waste, parings and scrap, of plastics",Weight in kilograms,1245193,1245193,779856
2016,Export,USA,37.09024,-95.712891,Belgium,50.503887,4.469936,"Waste, parings and scrap, of plastics",Weight in kilograms,1220136,1220136,4563027
2016,Import,USA,37.09024,-95.712891,Poland,51.919438,19.145136,"Waste, parings and scrap, of plastics",Weight in kilograms,1170119,1170119,575871
2016,Import,USA,37.09024,-95.712891,Argentina,-38.416097,-63.616672,"Waste, parings and scrap, of plastics",Weight in kilograms,1110580,1110580,709075
2016,Import,USA,37.09024,-95.712891,Guatemala,15.783471,-90.230759,"Waste, parings and scrap, of plastics",Weight in kilograms,1050732,1050732,652570
2016,Import,USA,37.09024,-95.712891,Haiti,18.971187,-72.285215,"Waste, parings and scrap, of plastics",Weight in kilograms,880749,880749,603814
2016,Import,USA,37.09024,-95.712891,Costa Rica,9.748917,-83.753428,"Waste, parings and scrap, of plastics",Weight in kilograms,826900,826900,469984
2016,Re-Export,USA,37.09024,-95.712891,Mexico,23.634501,-102.55278,"Waste, parings and scrap, of plastics",Weight in kilograms,825327,825327,1493054
2016,Export,USA,37.09024,-95.712891,Nigeria,9.081999,8.675277,"Waste, parings and scrap, of plastics",Weight in kilograms,796721,796721,433726
2016,Import,USA,37.09024,-95.712891,Bolivia (Plurinational State of),-16.290154,-63.588653,"Waste, parings and scrap, of plastics",Weight in kilograms,781764,781764,551726
2016,Import,USA,37.09024,-95.712891,United Kingdom,55.378051,-3.435973,"Waste, parings and scrap, of plastics",Weight in kilograms,745685,745685,458995
2016,Export,USA,37.09024,-95.712891,Germany,51.165691,10.451526,"Waste, parings and scrap, of plastics",Weight in kilograms,707568,707568,654646
2016,Export,USA,37.09024,-95.712891,Honduras,15.199999,-86.241905,"Waste, parings and scrap, of plastics",Weight in kilograms,704546,704546,987836
2016,Import,USA,37.09024,-95.712891,Malaysia,4.210484,101.975766,"Waste, parings and scrap, of plastics",Weight in kilograms,693045,693045,421685
2016,Import,USA,37.09024,-95.712891,Paraguay,-23.442503,-58.443832,"Waste, parings and scrap, of plastics",Weight in kilograms,686236,686236,519575
2016,Import,USA,37.09024,-95.712891,Turkey,38.963745,35.243322,"Waste, parings and scrap, of plastics",Weight in kilograms,679559,679559,290416
2016,Import,USA,37.09024,-95.712891,Panama,8.537981,-80.782127,"Waste, parings and scrap, of plastics",Weight in kilograms,678291,678291,575738
2016,Import,USA,37.09024,-95.712891,Romania,45.943161,24.96676,"Waste, parings and scrap, of plastics",Weight in kilograms,640980,640980,178630
2016,Import,USA,37.09024,-95.712891,India,20.593684,78.96288,"Waste, parings and scrap, of plastics",Weight in kilograms,549040,549040,760773
2016,Export,USA,37.09024,-95.712891,Netherlands,52.132633,5.291266,"Waste, parings and scrap, of plastics",Weight in kilograms,448336,448336,465630
2016,Import,USA,37.09024,-95.712891,Greece,39.074208,21.824312,"Waste, parings and scrap, of plastics",Weight in kilograms,430948,430948,186852
2016,Export,USA,37.09024,-95.712891,Switzerland,46.818188,8.227512,"Waste, parings and scrap, of plastics",Weight in kilograms,430715,430715,213317
2016,Export,USA,37.09024,-95.712891,Costa Rica,9.748917,-83.753428,"Waste, parings and scrap, of plastics",Weight in kilograms,377277,377277,320472
2016,Export,USA,37.09024,-95.712891,Peru,-9.189967,-75.015152,"Waste, parings and scrap, of plastics",Weight in kilograms,345661,345661,159795
2016,Import,USA,37.09024,-95.712891,El Salvador,13.794185,-88.89653,"Waste, parings and scrap, of plastics",Weight in kilograms,296637,296637,168404
2016,Export,USA,37.09024,-95.712891,Ecuador,-1.831239,-78.183406,"Waste, parings and scrap, of plastics",Weight in kilograms,230869,230869,105135
2016,Export,USA,37.09024,-95.712891,Greece,39.074208,21.824312,"Waste, parings and scrap, of plastics",Weight in kilograms,221870,221870,105230
2016,Import,USA,37.09024,-95.712891,Jamaica,18.109581,-77.297508,"Waste, parings and scrap, of plastics",Weight in kilograms,205939,205939,101690
2016,Import,USA,37.09024,-95.712891,Trinidad and Tobago,10.691803,-61.222503,"Waste, parings and scrap, of plastics",Weight in kilograms,199424,199424,84492
2016,Export,USA,37.09024,-95.712891,Chile,-35.675147,-71.542969,"Waste, parings and scrap, of plastics",Weight in kilograms,193979,193979,316791
2016,Import,USA,37.09024,-95.712891,Australia,-25.274398,133.775136,"Waste, parings and scrap, of plastics",Weight in kilograms,164485,164485,257670
2016,Import,USA,37.09024,-95.712891,Israel,31.046051,34.851612,"Waste, parings and scrap, of plastics",Weight in kilograms,158799,158799,167206
2016,Export,USA,37.09024,-95.712891,Sweden,60.128161,18.643501,"Waste, parings and scrap, of plastics",Weight in kilograms,154190,154190,315128
2016,Import,USA,37.09024,-95.712891,Belize,17.189877,-88.49765,"Waste, parings and scrap, of plastics",Weight in kilograms,153245,153245,27911
2016,Export,USA,37.09024,-95.712891,Israel,31.046051,34.851612,"Waste, parings and scrap, of plastics",Weight in kilograms,149326,149326,196783
2016,Import,USA,37.09024,-95.712891,Colombia,4.570868,-74.297333,"Waste, parings and scrap, of plastics",Weight in kilograms,143929,143929,245327
2016,Export,USA,37.09024,-95.712891,Italy,41.87194,12.56738,"Waste, parings and scrap, of plastics",Weight in kilograms,141809,141809,259816
2016,Import,USA,37.09024,-95.712891,Barbados,13.193887,-59.543198,"Waste, parings and scrap, of plastics",Weight in kilograms,132198,132198,57931
2016,Import,USA,37.09024,-95.712891,Ireland,53.1423672,-7.6920536,"Waste, parings and scrap, of plastics",Weight in kilograms,129443,129443,118079
2016,Import,USA,37.09024,-95.712891,Bahamas,25.03428,-77.39628,"Waste, parings and scrap, of plastics",Weight in kilograms,128501,128501,66373
