Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,458,Malaysia,4.210484,101.975766,MYS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,38797070,,,,38797070,,8030315,,,6
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,410,Rep. of Korea,29.745424,-95.462645,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,35510222,,,,35510222,,14106166,,,6
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,360,Indonesia,-0.789275,113.921327,IDN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,34521369,,,,34521369,,10524169,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,490,"Other Asia, nes",34.047863,100.6196553,,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,33976078,,,,33976078,,9299167,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,764,Thailand,15.870032,100.992541,THA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,32862356,,,,32862356,,10772518,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,484,Mexico,23.634501,-102.552784,MEX,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,32830410,,,,32830410,,22607377,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,490,"Other Asia, nes",34.047863,100.6196553,,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,30521157,,,,30521157,,8976800,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,360,Indonesia,-0.789275,113.921327,IDN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,29174874,,,,29174874,,8307152,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,360,Indonesia,-0.789275,113.921327,IDN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,27385165,,,,27385165,,9247584,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,792,Turkey,38.963745,35.243322,TUR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,23686786,,,,23686786,,6080379,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,276,Germany,51.165691,10.451526,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,17079142,,,,17079142,,6691954,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,792,Turkey,38.963745,35.243322,TUR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,14590529,,,,14590529,,4202379,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,340,Honduras,15.199999,-86.241905,HND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,14369944,,,,14369944,,11358985,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,276,Germany,51.165691,10.451526,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,13717070,,,,13717070,,6826694,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,276,Germany,51.165691,10.451526,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,12619831,,,,12619831,,7658000,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,392,Japan,36.204824,138.252924,JPN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,12479688,,,,12479688,,11029872,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,156,China,35.86166,104.195397,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,12250333,,,,12250333,,12926232,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,340,Honduras,15.199999,-86.241905,HND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,11826042,,,,11826042,,11156829,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,156,China,35.86166,104.195397,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,11662399,,,,11662399,,11533222,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,340,Honduras,15.199999,-86.241905,HND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10828115,,,,10828115,,11647864,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,381,Italy,41.87194,12.56738,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10727115,,,,10727115,,7393080,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,156,China,35.86166,104.195397,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10695197,,,,10695197,,9497885,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,218,Ecuador,-1.831239,-78.183406,ECU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10633338,,,,10633338,,6503352,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,218,Ecuador,-1.831239,-78.183406,ECU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10480481,,,,10480481,,7720988,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,566,Nigeria,9.081999,8.675277,NGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10140400,,,,10140400,,6622743,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,214,Dominican Rep.,18.735693,-70.162651,DOM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10030748,,,,10030748,,6553672,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,410,Rep. of Korea,29.745424,-95.462645,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,9158616,,,,9158616,,3399593,,,6
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,724,Spain,40.463667,-3.74922,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,8593946,,,,8593946,,4178527,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,381,Italy,41.87194,12.56738,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,8236650,,,,8236650,,4721567,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,604,Peru,-9.189967,-75.015152,PER,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7985866,,,,7985866,,5544555,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,381,Italy,41.87194,12.56738,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7936010,,,,7936010,,4808139,,,6
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,214,Dominican Rep.,18.735693,-70.162651,DOM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7793137,,,,7793137,,5354187,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,360,Indonesia,-0.789275,113.921327,IDN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7333904,,,,7333904,,5470284,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,218,Ecuador,-1.831239,-78.183406,ECU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6873549,,,,6873549,,3759171,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,214,Dominican Rep.,18.735693,-70.162651,DOM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6715973,,,,6715973,,5392088,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,792,Turkey,38.963745,35.243322,TUR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6605591,,,,6605591,,1954363,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,764,Thailand,15.870032,100.992541,THA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6541149,,,,6541149,,1434617,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,608,Philippines,12.879721,121.774017,PHL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6530441,,,,6530441,,2380733,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,56,Belgium,50.503887,4.469936,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6306504,,,,6306504,,3449169,,,0
